16340,-1.45,8.24,-9.92;
16341,-1.45,8.24,-9.92;
16342,-1.45,8.24,-9.92;
16343,-1.45,8.24,-9.92;
16344,-1.45,8.24,-9.92;
16345,-1.45,8.24,-9.92;
16346,-1.45,8.24,-9.92;
16347,-1.45,8.24,-9.92;
16358,-1.45,8.09,-9.92;
16359,-1.45,8.09,-9.92;
16360,-1.45,8.09,-9.92;
16361,-1.43,8.09,-9.92;
16362,-1.43,8.09,-9.92;
16363,-1.43,8.09,-9.92;
16364,-1.43,8.09,-9.92;
16365,-1.43,8.09,-9.92;
16376,-1.43,8.09,-9.92;
16377,-1.43,8.09,-9.92;
16378,-1.43,8.09,-9.76;
16379,-1.43,8.09,-9.76;
16380,-1.43,8.09,-9.76;
16381,-1.43,8.09,-9.76;
16382,-1.43,8.09,-9.76;
16383,-1.43,8.09,-9.76;
16384,-1.43,8.09,-9.76;
16395,-1.43,8.09,-9.76;
16396,-1.43,8.09,-9.76;
16397,-1.43,8.09,-9.76;
16398,-1.43,8.09,-9.76;
16399,-1.43,8.09,-9.76;
16400,-1.43,8.09,-9.76;
16401,-1.43,8.09,-9.76;
16402,-1.43,8.09,-9.76;
16413,-1.43,8.09,-9.76;
16414,-1.43,8.09,-9.76;
16415,-1.43,8.09,-9.76;
16416,-1.43,8.09,-9.76;
16417,-1.43,8.09,-9.76;
16418,-1.43,8.09,-9.76;
16419,-1.43,8.09,-9.76;
16420,-1.43,8.09,-9.76;
16421,-1.43,8.09,-9.76;
16432,-1.43,8.09,-9.76;
16433,-1.43,8.09,-9.76;
16434,-1.43,8.09,-9.76;
16435,-1.43,8.09,-9.76;
16436,-1.43,8.09,-9.76;
16437,-1.43,8.09,-9.76;
16438,-1.43,8.09,-9.76;
16439,-1.43,8.09,-9.76;
16440,-1.43,8.09,-9.76;
16451,-1.43,7.97,-9.76;
16452,-1.43,7.97,-9.76;
16453,-1.43,7.97,-9.76;
16454,-1.40,7.97,-9.76;
16455,-1.40,7.97,-9.76;
16456,-1.40,7.97,-9.76;
16457,-1.40,7.97,-9.76;
16458,-1.40,7.97,-9.76;
16469,-1.40,7.97,-9.76;
16470,-1.40,7.97,-9.76;
16471,-1.40,7.97,-9.76;
16472,-1.40,7.97,-9.76;
16473,-1.40,7.97,-9.76;
16474,-1.40,7.97,-9.76;
16475,-1.40,7.97,-9.60;
16476,-1.40,7.97,-9.60;
16477,-1.40,7.97,-9.60;
16488,-1.40,7.97,-9.60;
16489,-1.40,7.97,-9.60;
16490,-1.40,7.97,-9.60;
16491,-1.40,7.97,-9.60;
16492,-1.40,7.97,-9.60;
16493,-1.40,7.97,-9.60;
16494,-1.40,7.97,-9.60;
16495,-1.40,7.97,-9.60;
16506,-1.40,7.97,-9.60;
16507,-1.40,7.97,-9.60;
16508,-1.40,7.97,-9.60;
16509,-1.40,7.97,-9.60;
16510,-1.40,7.97,-9.60;
16511,-1.40,7.97,-9.60;
16512,-1.40,7.97,-9.60;
16513,-1.40,7.97,-9.60;
16514,-1.40,7.97,-9.60;
16525,-1.40,7.97,-9.60;
16526,-1.40,7.97,-9.60;
16527,-1.40,7.97,-9.60;
16528,-1.40,7.97,-9.60;
16529,-1.40,7.97,-9.60;
16530,-1.40,7.97,-9.60;
16531,-1.40,7.97,-9.60;
16532,-1.40,7.97,-9.60;
16543,-1.40,7.97,-9.60;
16544,-1.40,7.97,-9.60;
16545,-1.40,7.97,-9.60;
16546,-1.36,7.97,-9.60;
16547,-1.36,7.97,-9.60;
16548,-1.36,7.97,-9.60;
16549,-1.36,7.97,-9.60;
16550,-1.36,7.85,-9.60;
16551,-1.36,7.85,-9.60;
16562,-1.36,7.85,-9.60;
16563,-1.36,7.85,-9.60;
16564,-1.36,7.85,-9.60;
16565,-1.36,7.85,-9.60;
16566,-1.36,7.85,-9.60;
16567,-1.36,7.85,-9.60;
16568,-1.36,7.85,-9.60;
16569,-1.36,7.85,-9.60;
16580,-1.36,7.85,-9.45;
16581,-1.36,7.85,-9.45;
16582,-1.36,7.85,-9.45;
16583,-1.36,7.85,-9.45;
16584,-1.36,7.85,-9.45;
16585,-1.36,7.85,-9.45;
16586,-1.36,7.85,-9.45;
16587,-1.36,7.85,-9.45;
16588,-1.36,7.85,-9.45;
16599,-1.36,7.85,-9.45;
16600,-1.36,7.85,-9.45;
16601,-1.36,7.85,-9.45;
16602,-1.36,7.85,-9.45;
16603,-1.36,7.85,-9.45;
16604,-1.36,7.85,-9.45;
16605,-1.36,7.85,-9.45;
16606,-1.36,7.85,-9.45;
16617,-1.36,7.85,-9.45;
16618,-1.36,7.85,-9.45;
16619,-1.36,7.85,-9.45;
16620,-1.36,7.85,-9.45;
16621,-1.36,7.85,-9.45;
16622,-1.36,7.85,-9.45;
16623,-1.36,7.85,-9.45;
16624,-1.36,7.85,-9.45;
16625,-1.36,7.85,-9.45;
16636,-1.36,7.85,-9.45;
16637,-1.36,7.85,-9.45;
16638,-1.32,7.85,-9.45;
16639,-1.32,7.85,-9.45;
16640,-1.32,7.85,-9.45;
16641,-1.32,7.85,-9.45;
16642,-1.32,7.85,-9.45;
16643,-1.32,7.85,-9.45;
16644,-1.32,7.85,-9.45;
16655,-1.32,7.74,-9.45;
16656,-1.32,7.74,-9.45;
16657,-1.32,7.74,-9.45;
16658,-1.32,7.74,-9.45;
16659,-1.32,7.74,-9.45;
16660,-1.32,7.74,-9.45;
16661,-1.32,7.74,-9.45;
16662,-1.32,7.74,-9.45;
16673,-1.32,7.74,-9.28;
16674,-1.32,7.74,-9.28;
16675,-1.32,7.74,-9.28;
16676,-1.32,7.74,-9.28;
16677,-1.32,7.74,-9.28;
16678,-1.32,7.74,-9.28;
16679,-1.32,7.74,-9.28;
16680,-1.32,7.74,-9.28;
16681,-1.32,7.74,-9.28;
16692,-1.32,7.74,-9.28;
16693,-1.32,7.74,-9.28;
16694,-1.32,7.74,-9.28;
16695,-1.32,7.74,-9.28;
16696,-1.32,7.74,-9.28;
16697,-1.32,7.74,-9.28;
16698,-1.32,7.74,-9.28;
16699,-1.32,7.74,-9.28;
16710,-1.32,7.74,-9.28;
16711,-1.32,7.74,-9.28;
16712,-1.32,7.74,-9.28;
16713,-1.32,7.74,-9.28;
16714,-1.32,7.74,-9.28;
16715,-1.32,7.74,-9.28;
16716,-1.32,7.74,-9.28;
16717,-1.32,7.74,-9.28;
16718,-1.32,7.74,-9.28;
16729,-1.32,7.74,-9.28;
16730,-1.30,7.74,-9.28;
16731,-1.30,7.74,-9.28;
16732,-1.30,7.74,-9.28;
16733,-1.30,7.74,-9.28;
16734,-1.30,7.74,-9.28;
16735,-1.30,7.74,-9.28;
16736,-1.30,7.74,-9.28;
16747,-1.30,7.61,-9.28;
16748,-1.30,7.61,-9.28;
16749,-1.30,7.61,-9.28;
16750,-1.30,7.61,-9.28;
16751,-1.30,7.61,-9.28;
16752,-1.30,7.61,-9.28;
16753,-1.30,7.61,-9.28;
16754,-1.30,7.61,-9.28;
16755,-1.30,7.61,-9.28;
16766,-1.30,7.61,-9.12;
16767,-1.30,7.61,-9.12;
16768,-1.30,7.61,-9.12;
16769,-1.30,7.61,-9.12;
16770,-1.30,7.61,-9.12;
16771,-1.30,7.61,-9.12;
16772,-1.30,7.61,-9.12;
16773,-1.30,7.61,-9.12;
16784,-1.30,7.61,-9.12;
16785,-1.30,7.61,-9.12;
16786,-1.30,7.61,-9.12;
16787,-1.30,7.61,-9.12;
16788,-1.30,7.61,-9.12;
16789,-1.30,7.61,-9.12;
16790,-1.30,7.61,-9.12;
16791,-1.30,7.61,-9.12;
16792,-1.30,7.61,-9.12;
